2013-07-08 16:57:42,294: root              : WARNING : Starting...
2013-07-08 16:57:48,521: root              : WARNING : Mote 8192 entered the network!
2013-07-08 16:57:49,054: root              : WARNING : Mote 200 entered the network!
2013-07-08 16:57:49,595: root              : WARNING : Mote 128 entered the network!
2013-07-08 16:59:43,613: root              : WARNING : Mote 64 entered the network!
2013-07-08 17:05:58,218: root              : WARNING : Mote 32 entered the network!
2013-07-11 14:59:37,934: root              : WARNING : Mote 1024 entered the network!
2013-07-11 15:01:13,396: root              : WARNING : Mote 2048 entered the network!
2013-07-11 15:03:16,405: root              : WARNING : Mote 65318 entered the network!
2013-07-11 16:35:08,727: root              : WARNING : Skipping packet destination: 0 source: 57600 length: 248 group: 0 type: 0 data: [24, 243, 0, 0, 0, 224, 128, 0, 0, 0, 230, 224, 254, 248, 158, 62, 254, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 62, 230, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 62, 248, 248, 254, 24, 0, 158, 128, 30, 0, 158, 248, 6, 0, 102, 192, 0, 0, 62, 0, 30, 255, 0, 0, 0, 152, 128, 0, 0, 0, 152, 128, 102, 192, 254, 152, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 152, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 120, 255, 248, 254, 24, 0, 158, 128, 30, 0, 230, 230, 6, 0, 24, 192, 0, 0, 6, 0, 120, 255, 0, 0, 0, 152, 128, 0, 0, 0, 230, 128, 254, 152, 224, 134, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 248, 152, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 248, 0, 224, 248, 254, 24, 0, 248, 128, 30, 0, 102, 204, 6, 0, 158, 224, 0, 0, 248, 24, 128, 0, 129, 0, 0, 0, 152, 128, 0, 0, 0, 120, 0, 152, 248, 30, 230, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 128, 248, 152, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 128, 248, 96, 255, 248, 254, 24, 0, 152, 128, 30, 0, 96, 204, 6, 0, 134, 224, 0, 128, 248, 6, 0, 96, 255, 0, 0, 0, 152, 128, 0, 0, 0, 96, 3, 30, 243, 24, 48, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 152, 224, 254, 248, 248, 254, 0, 6, 0, 254, 254, 0, 248, 0, 30, 243, 248, 254, 24, 0, 152, 128, 30, 0, 134, 230, 6, 0, 0, 225, 0, 248, 0, 0, 30, 243, 0, 0, 254, 254, 0, 0, 0, 158, 224, 0, 62, 6, 254, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 62, 230, 224, 254, 248, 248, 254, 0, 24, 0, 0, 152, 128, 0, 248, 0, 96, 243, 248, 254, 24, 0, 152, 128, 30, 0, 158, 230, 6, 0, 254, 224, 0, 248, 0, 0, 96, 243, 0, 0, 62, 0, 96, 3, 0, 0, 0, 134, 134, 102, 204, 230, 254, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 62, 230, 224, 254, 248, 248, 254, 0, 24, 0, 0, 152, 128, 0, 248, 0, 102, 243, 248, 254, 24, 0, 152, 128, 30, 0, 158, 230, 6, 0, 30, 195, 0, 248, 0, 0, 102, 243, 0, 0, 62, 0, 134, 128] 
2013-07-11 16:35:26,861: root              : WARNING : Skipping packet destination: 65048 source: 152 length: 128 group: 30 type: 0 data: [230, 230, 6, 0, 30, 195, 0, 248] 
2013-07-11 16:40:22,418: root              : WARNING : Skipping packet destination: 0 source: 57600 length: 248 group: 0 type: 0 data: [152, 254, 0, 0, 0, 134, 128, 0, 0, 0, 24, 51, 158, 230, 96, 255, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 152, 224, 254, 248, 248, 254, 0, 24, 0, 0, 152, 128, 0, 248, 0, 158, 254, 248, 254, 24, 0, 248, 224, 6, 0, 0, 62, 0, 0, 225, 0, 248, 0, 0, 158, 254, 0, 0, 0, 224, 248, 0, 0, 0, 102, 63, 158, 152, 24, 207, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 248, 152, 224, 254, 248, 248, 254, 0, 24, 0, 0, 152, 128, 0, 248, 0, 224, 254, 248, 254, 24, 0, 224, 224, 30, 0, 6, 204, 6, 0, 0, 225, 0, 248, 0, 0, 224, 254, 0, 0, 248, 0, 152, 224, 0, 0, 0, 158, 224, 96, 15, 120, 243, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 248, 152, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 248, 6, 224, 248, 254, 24, 0, 6, 3, 6, 0, 224, 224, 6, 0, 134, 224, 0, 0, 248, 24, 128, 6, 3, 0, 0, 0, 152, 128, 0, 0, 0] 
2013-07-11 16:40:28,889: root              : WARNING : Skipping packet destination: 1016 source: 65272 length: 62 group: 6 type: 243 data: [0, 254, 254, 0, 0, 248, 152, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 248, 96, 224, 248, 254, 24, 0, 152, 224, 30, 0, 6, 204, 6, 0, 152, 224, 0, 0, 248, 24, 128, 96, 3, 0, 0, 0, 152, 128, 0, 0, 0, 102, 0, 24, 12, 152, 230, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 62, 230, 224, 254, 248, 252, 254, 0, 6, 0, 0, 152, 128, 0, 0, 62, 152, 248, 254, 24, 0, 152, 128, 6, 0, 152, 248, 6, 0, 102, 192, 0, 0, 62, 0, 96, 255, 0, 0, 0, 152, 128, 0, 0, 0, 158, 128, 24, 252, 224, 248, 254, 248, 62, 6, 243, 0, 254, 254, 0, 0, 62, 230, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 62, 230, 248, 254, 24, 0, 102, 3, 24, 0, 134, 158, 6, 0, 102, 192, 0, 0, 62, 0, 102, 255, 0, 0, 0, 152, 128, 0] 
2013-07-11 16:40:31,889: root              : WARNING : Skipping packet destination: 65272 source: 15878 length: 243 group: 0 type: 254 data: [254, 0, 0, 62, 230, 224, 254, 248, 248, 254, 0, 6, 0, 0, 152, 128, 0, 0, 62, 254, 248, 254, 24, 0, 152, 224, 24, 0, 120, 243, 6, 0, 102, 192, 0, 0] 
